name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Persuasion,{3}{U}{U},5,U,William O'Connor,95,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nYou control enchanted creature.,"ODY,10E",There's no telling what an accomplished mage might collect.,normal,129900,,,Uncommon,Aura,Enchantment
Phantom Warrior,{1}{U}{U},3,U,Greg Staples,96,Creature — Illusion Warrior,Phantom Warrior can't be blocked.,"POR,WTH,6ED,S99,7ED,8ED,9ED,10E,M10,DPA,M14","""There are as many pillows of illusion as flakes in a snow-storm. We wake from one dream into another dream.""\n—Ralph Waldo Emerson, ""Illusions""",normal,132064,2,2,Uncommon,"Illusion,Warrior",Creature
Plagiarize,{3}{U},4,U,Jeremy Jarvis,97,Instant,"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card.","TOR,9ED,10E","""Are you thinking what I'm thinking?""",normal,129883,,,Rare,,Instant
Puppeteer,{2}{U},3,U,Kev Walker,98,Creature — Human Wizard,"{U}, {T}: You may tap or untap target creature.","ODY,8ED,9ED,10E","""That's the funny thing about free will. You don't feel any different without it.""\n—Ambassador Laquatus",normal,129685,1,2,Uncommon,"Human,Wizard",Creature
Reminisce,{2}{U},3,U,Ralph Horsley,99,Sorcery,Target player shuffles his or her graveyard into his or her library.,"ONS,9ED,10E,DDJ",Leave the door to the past even slightly ajar and it could be blown off its hinges.,normal,129698,,,Uncommon,,Sorcery
Remove Soul,{1}{U},2,U,Adam Rex,100,Instant,Counter target creature spell.,"LEG,CHR,5ED,6ED,S99,7ED,pMPR,8ED,9ED,10E,ME3","When your enemies are denied soldiers, they are denied victory.",normal,129699,,,Common,,Instant
Robe of Mirrors,{U},1,U,Christopher Moeller,101,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has shroud. (It can't be the target of spells or abilities.),"EXO,10E","""Some say you cannot hit what you cannot see. I prefer that you hit what I want you to see.""\n—Arcanis the Omnipotent",normal,134764,,,Common,Aura,Enchantment
Rootwater Commando,{2}{U},3,U,Mark Tedin,102,Creature — Merfolk,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),"NMS,10E","Rootwater merfolk are seldom seen these days, but elf corpses are as numerous as ever.",normal,129733,2,2,Common,Merfolk,Creature
Rootwater Matriarch,{2}{U}{U},4,U,Daren Bader,103,Creature — Merfolk,{T}: Gain control of target creature for as long as that creature is enchanted.,"TMP,10E","In the harsh depths of Rootwater, the charms of surface dwellers are quite useless . . . except as lures.",normal,135252,2,3,Rare,Merfolk,Creature
Sage Owl,{1}{U},2,U,Mark Brill,104,Creature — Bird,"Flying\nWhen Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order.","WTH,6ED,7ED,8ED,10E,M10",,normal,135217,1,1,Common,Bird,Creature
Scalpelexis,{4}{U},5,U,Mark Tedin,105,Creature — Beast,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Scalpelexis deals combat damage to a player, that player exiles the top four cards of his or her library. If two or more of those cards have the same name, repeat this process.","JUD,10E",,normal,130818,1,5,Rare,Beast,Creature
Sea Monster,{4}{U}{U},6,U,Brian Despain,106,Creature — Serpent,Sea Monster can't attack unless defending player controls an Island.,"TMP,6ED,7ED,8ED,9ED,10E,TPR",It's easy to believe the monster is a myth—until you feel three hundred thousand pounds of myth crashing down on your ship.,normal,129719,6,6,Common,Serpent,Creature
Shimmering Wings,{U},1,U,Carl Critchlow,107,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)\n{U}: Return Shimmering Wings to its owner's hand.,"TMP,INV,10E","""I leave words like ‘impossible' to the rabble. Whatever I imagine, I can create.""\n—Ixidor, reality sculptor",normal,129553,,,Common,Aura,Enchantment
Sift,{3}{U},4,U,Jeremy Jarvis,108,Sorcery,"Draw three cards, then discard a card.","STH,9ED,10E,TPR",Dwell longest on the thoughts that shine brightest.,normal,136217,,,Common,,Sorcery
Sky Weaver,{1}{U},2,U,Christopher Moeller,109,Creature — Metathran Wizard,{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"INV,10E","""Let my wisdom give you wings.""",normal,130998,2,1,Uncommon,"Metathran,Wizard",Creature
Snapping Drake,{3}{U},4,U,Dave Dorman,110,Creature — Drake,Flying,"POR,pPOD,S99,BTD,RAV,10E,M10,DPA",The irritable drakes are solitary nesters. Even brooding females barely contain the urge to attack their own young.,normal,129471,3,2,Common,Drake,Creature
Spiketail Hatchling,{1}{U},2,U,Greg Staples,111,Creature — Drake,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.,"PCY,8ED,10E",It dodges waves of water to prepare for waves of magic.,normal,129901,1,1,Uncommon,Drake,Creature
Sunken Hope,{3}{U}{U},5,U,Volkan Baga,112,Enchantment,"At the beginning of each player's upkeep, that player returns a creature he or she controls to its owner's hand.","PLS,10E,PC2","""I don't concern myself with my enemy's hopes. Hopes follow the tides. They will retreat soon enough.""\n—Ambassador Laquatus",normal,129509,,,Rare,,Enchantment
Telepathy,{U},1,U,Matthew D. Wilson,113,Enchantment,Your opponents play with their hands revealed.,"USG,7ED,8ED,9ED,10E,M10","""The question isn't whether I can read minds. It's whether I have yet to find a mind worth reading.""\n—Ambassador Laquatus",normal,129761,,,Uncommon,,Enchantment
Telling Time,{1}{U},2,U,Scott M. Fischer,114,Instant,"Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.","RAV,10E,MM2","Mastery is achieved when ""telling time"" becomes ""telling time what to do.""",normal,132071,,,Uncommon,,Instant
Thieving Magpie,{2}{U}{U},4,U,Una Fricker,115,Creature — Bird,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Thieving Magpie deals damage to an opponent, draw a card.","UDS,7ED,8ED,9ED,10E,DPA",Other birds collect twigs for their nests. Magpies collect jewels for theirs.,normal,129764,1,3,Uncommon,Bird,Creature
Tidings,{3}{U}{U},5,U,Pete Venters,116,Sorcery,Draw four cards.,"S99,pMPR,9ED,10E","""Though the letter was many pages long, I could tell all I needed to know from one look at the messenger's face.""\n—Barrin, master wizard",normal,129770,,,Uncommon,,Sorcery
Time Stop,{4}{U}{U},6,U,Scott M. Fischer,117,Instant,"End the turn. (Exile all spells and abilities on the stack, including this card. The player whose turn it is discards down to his or her maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)","CHK,10E",,normal,129898,,,Rare,,Instant
Time Stretch,{8}{U}{U},10,U,Matt Cavotta,118,Sorcery,Target player takes two extra turns after this one.,"ODY,10E",There's lots of time like the present.,normal,129677,,,Rare,,Sorcery
Traumatize,{3}{U}{U},5,U,Greg Staples,119,Sorcery,"Target player puts the top half of his or her library, rounded down, into his or her graveyard.","ODY,9ED,10E,M10,M11,M14","""The educated mind is heavy with lore and knowledge. It's also the most likely to collapse under its own weight.""\n—Ambassador Laquatus",normal,129774,,,Rare,,Sorcery
Twincast,{U}{U},2,U,Christopher Moeller,120,Instant,Copy target instant or sorcery spell. You may choose new targets for the copy.,"SOK,10E,M10",Imitation is the most dangerous form of flattery.,normal,129887,,,Rare,,Instant
Twitch,{2}{U},3,U,DiTerlizzi,121,Instant,"You may tap or untap target artifact, creature, or land.\nDraw a card.","TMP,10E,WWK,TPR",Battles are won in nuance.,normal,136286,,,Common,,Instant
Unsummon,{U},1,U,Ron Spencer,122,Instant,Return target creature to its owner's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,10E,CON,M10,DPA,M11,M12,M13",Tolarian apprentices learn to liberate Ætheric energy long before they are taught to bind it.,normal,136218,,,Common,,Instant
Vedalken Mastermind,{U}{U},2,U,Darrell Riche,123,Creature — Vedalken Wizard,"{U}, {T}: Return target permanent you control to its owner's hand.","5DN,10E","The vedalken see other beings from a cold distance, as either experimental subjects or objects of study.",normal,130834,1,2,Uncommon,"Vedalken,Wizard",Creature
Wall of Air,{1}{U}{U},3,U,John Avon,124,Creature — Wall,"Defender, flying (This creature can't attack, and it can block creatures with flying.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED,10E","When no falcons fly, beware the sky.\n—Femeref aphorism",normal,135274,1,5,Uncommon,Wall,Creature
Afflict,{2}{B},3,B,Roger Raupp,125,Instant,Target creature gets -1/-1 until end of turn.\nDraw a card.,"ODY,10E","One rarely notices a heartbeat, save when it is stolen.",normal,135206,,,Common,,Instant
Agonizing Memories,{2}{B}{B},4,B,Adam Rex,126,Sorcery,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,"WTH,6ED,7ED,10E","In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.",normal,135228,,,Uncommon,,Sorcery
Ascendant Evincar,{4}{B}{B},6,B,Mark Zug,127,Legendary Creature — Vampire,Flying (This creature can't be blocked except by creatures with flying or reach.)\nOther black creatures get +1/+1.\nNonblack creatures get -1/-1.,"NMS,10E,HOP,DPA","His soul snared by an angel's curse, Crovax twisted heroism into its purest shadow.",normal,106525,3,3,Rare,Vampire,Creature
Assassinate,{2}{B},3,B,Kev Walker,128,Sorcery,Destroy target tapped creature.,"TSP,10E,M10,M11,PC2,CNS","""This is how wars are won—not with armies of soldiers but with a single knife blade, artfully placed.""\n—Yurin, royal assassin",normal,135194,,,Common,,Sorcery
Beacon of Unrest,{3}{B}{B},5,B,Alan Pollack,129,Sorcery,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,"5DN,10E,HOP,ARC",A vertical scream pierces the night air and echoes doom through the clouds.,normal,135270,,,Rare,,Sorcery
Bog Wraith,{3}{B},4,B,Daarken,130,Creature — Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E,M10","Knowing Takenuma Swamp to be dangerous, Hisata set wards to warn him of predators. He never imagined that his murderer would pass through them unhindered.",normal,129491,3,3,Uncommon,Wraith,Creature
Consume Spirit,{X}{1}{B},2,B,Matt Thompson,131,Sorcery,Spend only black mana on X.\nConsume Spirit deals X damage to target creature or player and you gain X life.,"pMEI,MRD,9ED,10E,DDC,M10,HOP,DPA,M12,DD3_DVD","""Your blood, your marrow, your spirit—all are mine.""\n—Mayvar, minion of Geth",normal,129505,,,Uncommon,,Sorcery
Contaminated Bond,{1}{B},2,B,Thomas M. Baxa,132,Enchantment — Aura,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature attacks or blocks, its controller loses 3 life.","MRD,9ED,10E","""My favorite curses are those that manifest slowly, blackening the soul in ways the victim cannot hope to understand.""\n—Erissa, bog witch",normal,129590,,,Common,Aura,Enchantment
Cruel Edict,{1}{B},2,B,Michael Sutfin,133,Sorcery,Target opponent sacrifices a creature.,"PO2,pMPR,9ED,10E,DDC,DD3_DVD","""Choose your next words carefully. They will be your last.""\n—Phage the Untouchable",normal,129514,,,Uncommon,,Sorcery
Deathmark,{B},1,B,Jeremy Jarvis,134,Sorcery,Destroy target green or white creature.,"CSP,10E,M10,M11,M12,MM2","""I hope it's true that every snowflake is unique, because I never want to see one like this again. Now clean up that body.""\n—Thangbrand Gyrdsson, Kjeldoran patrol",normal,129910,,,Uncommon,,Sorcery
Diabolic Tutor,{2}{B}{B},4,B,Greg Staples,135,Sorcery,Search your library for a card and put that card into your hand. Then shuffle your library.,"ODY,8ED,9ED,10E,M10,M11,CMD,M12,M14",The best ideas often come from the worst minds.,normal,129525,,,Uncommon,,Sorcery
Distress,{B}{B},2,B,Michael Sutfin,136,Sorcery,Target player reveals his or her hand. You choose a nonland card from it. That player discards that card.,"CHK,10E,M12","""They say the eyes are the windows to the soul. I like to break windows and take what's inside.""\n—Braids, dementia summoner",normal,135219,,,Common,,Sorcery
Doomed Necromancer,{2}{B},3,B,Volkan Baga,137,Creature — Human Cleric Mercenary,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.","ONS,10E",Many necromancers share the same last words—the ones that conclude the undeath ritual.,normal,129880,2,2,Rare,"Human,Cleric,Mercenary",Creature
Dross Crocodile,{3}{B},4,B,Carl Critchlow,138,Creature — Zombie Crocodile,,"5DN,10E","""As soon as it surfaced, we could all smell it. Its rancid breath reeked of half-digested carrion and its own rotting innards.""\n—Dafri, Auriok champion",normal,135216,5,1,Common,"Zombie,Crocodile",Creature
Drudge Skeletons,{1}{B},2,B,Jim Nelson,139,Creature — Skeleton,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,S00,7ED,8ED,9ED,10E,M10,DDD,DPA,DD3_GVL","""The dead make good soldiers. They can't disobey orders, never surrender, and don't stop fighting when a random body part falls off.""\n—Nevinyrral, Necromancer's Handbook",normal,129529,1,1,Uncommon,Skeleton,Creature
Dusk Imp,{2}{B},3,B,Pete Venters,140,Creature — Imp,Flying,"ODY,8ED,10E,DDC,DPA,DD3_DVD",Imps are just intelligent enough to have an understanding of cruelty.,normal,129490,2,1,Common,Imp,Creature
Essence Drain,{4}{B},5,B,Jim Nelson,141,Sorcery,Essence Drain deals 3 damage to target creature or player and you gain 3 life.,"DST,10E,DPA,M13","""The elves are right: Death inevitably leads to life. But the truly powerful don't just experience this cycle. They control it.""\n—Crovax, ascendant evincar",normal,135191,,,Common,,Sorcery
Fear,{B}{B},2,B,Adam Rex,142,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,6ED,7ED,8ED,9ED,10E","""Even the bravest of warriors yet knows the dark clutch of fright upon his stalwart heart.""\n—Lim-Dûl the Necromancer",normal,129544,,,Common,Aura,Enchantment
Festering Goblin,{B},1,B,Thomas M. Baxa,143,Creature — Zombie Goblin,"When Festering Goblin dies, target creature gets -1/-1 until end of turn.","ONS,9ED,10E,HOP,ARC,MMA","In life, it was a fetid, disease-ridden thing. In death, not much changed.",normal,129546,1,1,Common,"Zombie,Goblin",Creature
Grave Pact,{1}{B}{B}{B},4,B,Puddnhead,144,Enchantment,"Whenever a creature you control dies, each other player sacrifices a creature.","STH,8ED,9ED,10E,HOP,CMD","""The bonds of loyalty can tie one to the grave.""\n—Crovax, ascendant evincar",normal,129583,,,Rare,,Enchantment
Graveborn Muse,{2}{B}{B},4,B,Kev Walker,145,Creature — Zombie Spirit,"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.","LGN,10E","""Her voice is damnation, unyielding and certain.""\n—Phage the Untouchable",normal,135256,3,3,Rare,"Zombie,Spirit",Creature
Gravedigger,{3}{B},4,B,Dermot Power,146,Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.","POR,TMP,6ED,S99,BTD,7ED,ODY,8ED,9ED,pGTW,10E,M10,HOP,M11,CMD,M12,M15,TPR,EMA",A full coffin is like a full coffer—both are attractive to thieves.,normal,129584,2,2,Common,Zombie,Creature
Hate Weaver,{1}{B},2,B,Roger Raupp,147,Creature — Zombie Wizard,{2}: Target blue or red creature gets +1/+0 until end of turn.,"INV,10E","""Let my hate fuel your fury.""",normal,130995,2,1,Uncommon,"Zombie,Wizard",Creature
Head Games,{3}{B}{B},5,B,Terese Nielsen,148,Sorcery,"Target opponent puts the cards from his or her hand on top of his or her library. Search that player's library for that many cards. The player puts those cards into his or her hand, then shuffles his or her library.","ONS,10E",,normal,135255,,,Rare,,Sorcery
Hidden Horror,{1}{B}{B},3,B,Brom,149,Creature — Horror,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.","WTH,PO2,6ED,10E,PD3","If the presence of evil were obvious, it wouldn't be nearly as dangerous.",normal,135234,4,4,Uncommon,Horror,Creature
Highway Robber,{2}{B}{B},4,B,Kev Walker,150,Creature — Human Mercenary,"When Highway Robber enters the battlefield, target opponent loses 2 life and you gain 2 life.","MMQ,9ED,10E,DDM","""Tonight, madam, it's your money and your life.""",normal,129564,2,2,Common,"Human,Mercenary",Creature
Hypnotic Specter,{1}{B}{B},3,B,Greg Staples,151,Creature — Specter,"Flying\nWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pMPR,9ED,10E,M10",Its victims are known by their eyes: shattered vessels leaking broken dreams.,normal,129600,2,2,Rare,Specter,Creature
Knight of Dusk,{1}{B}{B},3,B,rk post,152,Creature — Human Knight,{B}{B}: Destroy target creature blocking Knight of Dusk.,"TMP,10E","""Challenge me with your strongest. I will paint my sword with their blood.""",normal,129574,2,2,Uncommon,"Human,Knight",Creature
Looming Shade,{2}{B},3,B,Kev Walker,153,Creature — Shade,{B}: Looming Shade gets +1/+1 until end of turn.,"USG,7ED,8ED,9ED,10E,M10","Its form never rests, propelled by some undetectable gale from beyond the gloom.",normal,129628,1,1,Common,Shade,Creature
Lord of the Pit,{4}{B}{B}{B},7,B,Michael Sutfin,154,Creature — Demon,"Flying, trample\nAt the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,10E,DDC,DD3_DVD",,normal,135271,7,7,Rare,Demon,Creature
Lord of the Undead,{1}{B}{B},3,B,Brom,155,Creature — Zombie,"Other Zombie creatures get +1/+1.\n{1}{B}, {T}: Return target Zombie card from your graveyard to your hand.","PLS,8ED,9ED,10E","""Do not weep at your defeat, my dear. In death, you will serve a greater purpose—mine.""",normal,129629,2,2,Rare,Zombie,Creature
Mass of Ghouls,{3}{B}{B},5,B,Lucio Parrillo,156,Creature — Zombie Warrior,,"FUT,10E","""An army has filled the valley, but it's not like any army I've ever seen. There are no tents, no fires, no horses . . . just a sea of bodies, writhing and moaning, as if a pestilent village were sent to invade us.""\n—Onean scout",normal,135218,5,3,Common,"Zombie,Warrior",Creature
Megrim,{2}{B},3,B,Nick Percival,157,Enchantment,"Whenever an opponent discards a card, Megrim deals 2 damage to that player.","STH,7ED,8ED,9ED,10E,M10,DPA","""Pain is both a tool and a craft. Like any tool, it must be sharpened. Like any craft, it must be practiced.""\n—Hooks, Cabal torturer",normal,129640,,,Uncommon,,Enchantment
Midnight Ritual,{X}{2}{B},3,B,Jeff Easley,158,Sorcery,"Exile X target creature cards from your graveyard. For each creature card exiled this way, put a 2/2 black Zombie creature token onto the battlefield.","MMQ,10E","Bury old friends deeply, lest they return bearing worms.",normal,135272,,,Rare,,Sorcery
Mind Rot,{2}{B},3,B,Steve Luke,159,Sorcery,Target player discards two cards.,"POR,PO2,S99,7ED,8ED,9ED,10E,M10,DPA,M11,M12,M13,RTR,M14,M15,DTK,ORI,W16","""The beauty of mental attacks is that your victims never remember them.""\n—Volrath",normal,129645,,,Common,,Sorcery
Mortal Combat,{2}{B}{B},4,B,Mike Ploog,160,Enchantment,"At the beginning of your upkeep, if twenty or more creature cards are in your graveyard, you win the game.","TOR,10E","The crowd roared, the fighters bled, and the dead piled high in the pits. Only the Cabal could win.",normal,135259,,,Rare,,Enchantment
Mortivore,{2}{B}{B},4,B,Anthony S. Waters,161,Creature — Lhurgoyf,Mortivore's power and toughness are each equal to the number of creature cards in all graveyards.\n{B}: Regenerate Mortivore.,"ODY,9ED,10E,DPA,CMD",The light sigh of its breath whistles through its bones.,normal,129648,*,*,Rare,Lhurgoyf,Creature
Nantuko Husk,{2}{B},3,B,Carl Critchlow,162,Creature — Zombie Insect,Sacrifice a creature: Nantuko Husk gets +2/+2 until end of turn.,"ONS,9ED,10E,CMD,ORI","The soul sheds light, and death is its shadow. When the light dims, life and death embrace.\n—Nantuko teaching",normal,129653,2,2,Uncommon,"Zombie,Insect",Creature
Nekrataal,{2}{B}{B},4,B,Christopher Moeller,163,Creature — Human Assassin,"First strike\nWhen Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated.","VIS,BRB,8ED,9ED,10E,DDM,C14,EMA",His victims don't have time to feel despair.,normal,129658,2,1,Uncommon,"Human,Assassin",Creature
Nightmare,{5}{B},6,B,Carl Critchlow,164,Creature — Nightmare Horse,Flying (This creature can't be blocked except by creatures with flying or reach.)\nNightmare's power and toughness are each equal to the number of Swamps you control.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED,9ED,10E,M10,M14,M15,ORI,W16",The thunder of its hooves beats dreams into despair.,normal,129659,*,*,Rare,"Nightmare,Horse",Creature
No Rest for the Wicked,{1}{B},2,B,Carl Critchlow,165,Enchantment,Sacrifice No Rest for the Wicked: Return to your hand all creature cards in your graveyard that were put there from the battlefield this turn.,"USG,10E","""The soul? Here, we have no use for such frivolities.""\n—Sitrik, birth priest",normal,136283,,,Uncommon,,Enchantment
Phage the Untouchable,{3}{B}{B}{B}{B},7,B,Ron Spears,166,Legendary Creature — Avatar Minion,"When Phage the Untouchable enters the battlefield, if you didn't cast it from your hand, you lose the game.\nWhenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated.\nWhenever Phage deals combat damage to a player, that player loses the game.","LGN,10E,CNS",,normal,106427,4,4,Rare,"Avatar,Minion",Creature
Phyrexian Rager,{2}{B},3,B,Mark Tedin,167,Creature — Horror,"When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life.","pMEI,APC,10E,DDD,MBS,DD3_GVL,C15,EMA","It takes no prisoners, but it keeps the choicest bits for Phyrexia.",normal,135189,2,2,Common,Horror,Creature
Plague Beetle,{B},1,B,Tom Fleming,168,Creature — Insect,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"ULG,7ED,8ED,9ED,10E",No one knows whether they were named for the disease they carry or for the speed at which they multiply.,normal,129678,1,1,Common,Insect,Creature
Plague Wind,{7}{B}{B},9,B,Alan Pollack,169,Sorcery,Destroy all creatures you don't control. They can't be regenerated.,"PCY,8ED,9ED,10E",,normal,129679,,,Rare,,Sorcery
Rain of Tears,{1}{B}{B},3,B,Eric Peterson,170,Sorcery,Destroy target land.,"POR,TMP,MMQ,10E","""When mortals die, they have family, friends, compatriots to mourn them. When the land dies, all else dies with it, and there is no one left to weep.""\n—Jacinth, Skyshroud ranger",normal,135220,,,Uncommon,,Sorcery
Ravenous Rats,{1}{B},2,B,Carl Critchlow,171,Creature — Rat,"When Ravenous Rats enters the battlefield, target opponent discards a card.","PO2,UDS,S99,INV,8ED,9ED,10E,DDD,DPA,M13,DDJ,DD3_GVL",Nothing is sacred to rats. Everything is simply another meal.,normal,129692,1,1,Common,Rat,Creature
Recover,{2}{B},3,B,Nelson DeCastro,172,Sorcery,Return target creature card from your graveyard to your hand.\nDraw a card.,"INV,10E","As Barrin exhumed his daughter's body, he finally realized the full price of his faith in Urza.",normal,135188,,,Common,,Sorcery
Relentless Rats,{1}{B}{B},3,B,Thomas M. Baxa,173,Creature — Rat,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.,"5DN,10E,M10,M11",,normal,135236,2,2,Uncommon,Rat,Creature
Royal Assassin,{1}{B}{B},3,B,Mark Zug,174,Creature — Human Assassin,{T}: Destroy target tapped creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pSUS,8ED,9ED,10E,M10,M11,M12","Trained in the arts of stealth, royal assassins choose their victims carefully, relying on timing and precision rather than brute force.",normal,129708,1,1,Rare,"Human,Assassin",Creature
Scathe Zombies,{2}{B},3,B,Kev Walker,175,Creature — Zombie,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ITP,5ED,6ED,S99,S00,7ED,8ED,9ED,10E","""They groaned, they stirred, they all uprose,\nNor spake, nor moved their eyes;\nIt had been strange, even in a dream,\nTo have seen those dead men rise.""\n—Samuel Taylor Coleridge,\n""The Rime of the Ancient Mariner""",normal,129718,2,2,Common,Zombie,Creature
Sengir Vampire,{3}{B}{B},5,B,Kev Walker,176,Creature — Vampire,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.","LEA,LEB,2ED,CED,CEI,3ED,4ED,BRB,BTD,TOR,9ED,10E,DPA,ME4,M12,DDK,M14,M15,ORI,W16","Empires rise and fall, but evil is eternal.",normal,129724,4,4,Rare,Vampire,Creature
Severed Legion,{1}{B}{B},3,B,Dany Orizio,177,Creature — Zombie,Fear (This creature can't be blocked except by artifact creatures and/or black creatures.),"ONS,8ED,10E,DPA",No one in Aphetto answers a knock at the door after sundown.,normal,129693,2,2,Common,Zombie,Creature
Sleeper Agent,{B},1,B,Randy Gallegos,178,Creature — Minion,"When Sleeper Agent enters the battlefield, target opponent gains control of it.\nAt the beginning of your upkeep, Sleeper Agent deals 2 damage to you.","USG,10E",,normal,129803,3,3,Rare,Minion,Creature
Soul Feast,{3}{B}{B},5,B,Adam Rex,179,Sorcery,Target player loses 4 life and you gain 4 life.,"UDS,S99,7ED,8ED,9ED,10E","""I smell the tang of a mortal's fresh blood. I hear it sliding wetly beneath its skin. My hunger cannot refuse the invitation.""\n—Yuri, Sengir vampire",normal,129739,,,Uncommon,,Sorcery
Spineless Thug,{1}{B},2,B,Matthew D. Wilson,180,Creature — Zombie Mercenary,Spineless Thug can't block.,"NMS,7ED,8ED,9ED,10E","What it lacks in backbone, it makes up for in cruelty.",normal,129743,2,2,Common,"Zombie,Mercenary",Creature
Stronghold Discipline,{2}{B}{B},4,B,Daarken,181,Sorcery,Each player loses 1 life for each creature he or she controls.,"NMS,10E,CNS","In Urborg, the instigators of each new rebellion are soaked in the blood of the last.",normal,135197,,,Uncommon,,Sorcery
Terror,{1}{B},2,B,Adam Rex,182,Instant,"Destroy target nonartifact, nonblack creature. It can't be regenerated.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ATH,6ED,BRB,pFNM,S00,BTD,pMPR,MRD,10E,DPA,ME4",,normal,135199,,,Common,,Instant
Thrull Surgeon,{1}{B},2,B,rk post,183,Creature — Thrull,"{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery.","EXO,10E,TPR","""Just take a little off the top.""",normal,136282,1,1,Uncommon,Thrull,Creature
Underworld Dreams,{B}{B}{B},3,B,Carl Critchlow,184,Enchantment,"Whenever an opponent draws a card, Underworld Dreams deals 1 damage to him or her.","LEG,8ED,9ED,p2HG,10E,M10,DPA","""In the drowsy dark cave of the mind, dreams build their nest with fragments dropped from day's caravan.""\n—Rabindranath Tagore",normal,129779,,,Rare,,Enchantment
Unholy Strength,{B},1,B,Terese Nielsen,185,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,7ED,8ED,9ED,10E,DDC,M10,DPA,M11,DD3_DVD",Such power grows the body as it shrinks the soul.,normal,129780,,,Common,Aura,Enchantment
Vampire Bats,{B},1,B,Chippy,186,Creature — Bat,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate this ability no more than twice each turn.,"LEG,4ED,RQS,ITP,5ED,10E,DDD,DD3_GVL",,normal,135195,0,1,Common,Bat,Creature
